"2294","4","down","flat","up"
"5409.10","5419.70","5570.10","5852.30","2"
"5468.50","5412.40","5554.10","5844.00","1"
"5520.80","5418.80","5546.60","5833.50","2"
"5546.40","5436.90","5542.80","5822.80","1"
"5580.00","5483.30","5540.00","5812.90","0"
"5532.40","5499.10","5526.20","5800.90","2"
"5497.10","5516.30","5519.50","5789.50","2"
"5556.30","5541.20","5515.00","5780.70","2"
"5627.60","5561.80","5518.20","5773.50","1"
"5657.00","5580.10","5524.20","5766.50","1"
"5662.00","5594.90","5526.80","5760.90","0"
"5612.10","5589.30","5516.90","5753.10","1"
"5564.10","5603.90","5514.50","5744.50","0"
"5503.40","5591.10","5513.60","5732.00","0"
"5408.30","5561.60","5504.40","5719.20","2"
"5432.70","5535.40","5504.40","5707.30","1"
"5493.50","5514.90","5507.70","5695.50","2"
"5537.00","5499.70","5522.70","5685.70","1"
"5552.40","5497.90","5531.50","5674.40","0"
"5489.10","5478.20","5533.50","5661.10","2"
"5494.40","5495.30","5540.00","5651.70","2"
"5640.10","5544.50","5550.60","5646.30","0"
"5709.80","5574.50","5558.90","5638.00","1"
"5694.70","5602.00","5565.50","5629.60","1"
"5696.60","5620.10","5570.60","5621.00","0"
"5667.00","5634.70","5578.90","5611.80","2"
"5666.20","5670.60","5587.50","5605.70","2"
"5712.10","5696.90","5594.50","5599.10","1"
"5724.50","5694.80","5597.20","5594.30","2"
"5744.50","5706.80","5603.30","5589.50","1"
"5786.30","5720.90","5609.60","5587.40","1"
"5802.70","5737.20","5622.30","5586.80","1"
"5805.30","5760.40","5633.70","5589.30","2"
"5823.80","5782.20","5654.40","5593.30","1"
"5836.30","5795.90","5676.50","5597.00","2"
"5845.70","5816.80","5695.70","5599.20","1"
"5850.20","5826.10","5712.20","5602.90","1"
"5850.70","5835.20","5727.00","5606.50","1"
"5853.40","5840.60","5742.30","5611.40","0"
"5825.70","5841.00","5760.70","5616.90","0"
"5790.90","5831.20","5771.90","5620.00","2"
"5796.60","5829.70","5776.30","5621.40","0"
"5793.00","5816.20","5780.30","5624.20","1"
"5753.90","5802.20","5782.30","5630.10","0"
"5700.90","5773.40","5780.70","5631.90","2"
"5683.20","5753.50","5783.90","5636.40","0"
"5689.90","5734.60","5783.10","5641.10","2"
"5717.50","5732.50","5784.40","5651.00","2"
"5777.60","5729.10","5788.40","5659.60","2"
"5815.50","5739.00","5791.50","5668.30","0"
"5820.10","5748.00","5791.80","5676.00","2"
"5825.90","5774.70","5793.80","5682.60","0"
"5789.40","5778.40","5790.20","5686.80","1"
"5725.70","5784.90","5784.00","5689.80","0"
"5702.50","5774.10","5776.80","5691.70","1"
"5697.00","5761.90","5769.20","5696.40","1"
"5696.30","5740.10","5761.40","5699.70","0"
"5657.40","5715.50","5749.80","5700.40","0"
"5577.90","5669.20","5733.80","5697.70","1"
"5529.90","5641.30","5720.30","5695.40","1"
"5537.20","5615.40","5708.50","5692.70","2"
"5576.30","5605.20","5698.20","5693.90","0"
"5587.40","5584.00","5687.90","5693.60","0"
"5542.40","5561.20","5677.10","5695.50","0"
"5478.10","5532.80","5665.60","5696.40","2"
"5469.60","5530.30","5655.70","5697.00","0"
"5444.00","5508.30","5641.10","5694.40","2"
"5398.70","5490.70","5623.80","5691.40","2"
"5468.60","5477.50","5610.20","5691.10","0"
"5489.80","5462.80","5591.30","5691.40","1"
"5446.30","5450.10","5572.80","5689.10","2"
"5497.70","5468.40","5558.40","5685.80","2"
"5579.70","5481.50","5551.80","5683.90","2"
"5634.30","5522.80","5549.30","5683.30","0"
"5650.00","5553.30","5546.60","5682.10","0"
"5588.30","5557.00","5538.40","5680.20","2"
"5603.10","5585.70","5537.20","5679.60","1"
"5666.40","5619.90","5539.30","5678.40","2"
"5696.30","5642.40","5549.10","5678.40","2"
"5734.80","5664.20","5559.80","5678.00","1"
"5737.80","5672.00","5569.10","5676.50","1"
"5734.00","5688.30","5575.60","5675.20","0"
"5667.10","5694.50","5577.10","5671.00","1"
"5598.10","5686.80","5581.20","5666.20","0"
"5560.10","5664.10","5585.30","5659.90","1"
"5512.10","5634.20","5585.40","5652.90","1"
"5503.40","5598.00","5591.20","5646.00","1"
"5504.40","5567.50","5596.00","5639.00","2"
"5557.10","5547.50","5600.10","5634.20","1"
"5608.50","5550.80","5607.90","5630.30","1"
"5620.90","5554.00","5617.60","5627.40","1"
"5627.40","5570.00","5620.90","5623.60","1"
"5620.70","5585.00","5621.70","5620.50","0"
"5582.20","5592.50","5615.60","5616.70","1"
"5548.20","5597.50","5611.50","5614.40","0"
"5496.40","5575.20","5606.50","5609.20","1"
"5449.80","5552.10","5596.10","5604.80","2"
"5474.30","5533.30","5587.20","5599.50","0"
"5465.50","5505.90","5573.10","5592.30","0"
"5417.90","5475.40","5555.50","5583.60","1"
"5385.90","5449.80","5537.90","5574.90","2"
"5387.50","5429.40","5520.90","5566.10","0"
"5327.20","5401.40","5503.90","5556.40","1"
"5238.10","5369.00","5484.90","5546.50","0"
"5191.20","5320.60","5467.00","5536.00","0"
"5124.70","5271.60","5446.10","5523.70","0"
"4918.40","5177.90","5408.50","5504.90","2"
"4793.50","5102.30","5375.10","5489.10","0"
"4739.70","4992.80","5326.80","5471.40","2"
"4776.90","4945.10","5291.90","5459.00","0"
"4897.60","4895.50","5254.40","5445.80","1"
"4863.20","4851.40","5215.50","5430.50","2"
"4894.90","4829.80","5181.80","5418.10","0"
"4907.50","4848.20","5148.00","5405.10","1"
"4871.70","4852.10","5114.20","5393.80","2"
"4923.90","4900.90","5090.70","5383.20","1"
"4975.90","4909.00","5066.80","5375.10","0"
"4875.30","4894.50","5030.80","5362.30","2"
"4796.60","4890.00","4999.90","5348.20","0"
"4770.10","4858.90","4966.10","5333.50","1"
"4716.70","4835.50","4933.00","5319.00","1"
"4696.20","4808.70","4896.90","5301.40","2"
"4761.70","4789.10","4876.40","5286.30","1"
"4848.10","4772.20","4857.90","5270.00","1"
"4857.00","4783.90","4843.00","5254.60","0"
"4815.20","4777.50","4827.00","5239.10","2"
"4816.80","4797.20","4832.90","5223.10","1"
"4873.80","4822.40","4835.00","5207.40","0"
"4849.30","4841.00","4843.80","5189.30","2"
"4835.80","4843.60","4840.90","5171.40","0"
"4841.70","4839.20","4838.20","5153.40","2"
"4871.90","4847.80","4841.80","5136.90","2"
"4946.20","4876.60","4843.40","5124.60","1"
"4970.90","4891.90","4848.10","5111.80","0"
"4917.00","4888.90","4847.90","5098.80","0"
"4827.90","4885.80","4838.50","5084.50","0"
"4766.70","4869.20","4827.00","5069.40","0"
"4709.30","4847.90","4821.90","5052.70","2"
"4716.20","4824.70","4818.90","5035.70","0"
"4717.20","4782.50","4816.60","5017.00","0"
"4648.50","4732.60","4812.10","4996.80","0"
"4593.00","4690.00","4806.30","4975.60","2"
"4597.30","4666.70","4795.70","4955.90","2"
"4662.40","4660.20","4787.80","4938.80","0"
"4663.60","4653.60","4776.30","4920.50","0"
"4611.20","4630.20","4767.40","4903.40","0"
"4511.60","4594.90","4745.80","4883.00","2"
"4506.80","4589.70","4730.70","4864.70","1"
"4569.30","4588.10","4717.80","4847.10","1"
"4544.80","4574.70","4701.60","4829.80","2"
"4612.90","4573.90","4694.90","4816.20","1"
"4684.30","4580.60","4682.80","4801.70","2"
"4698.10","4598.80","4670.10","4791.10","1"
"4707.70","4636.60","4656.50","4780.50","1"
"4701.50","4654.40","4648.60","4771.50","2"
"4786.50","4698.70","4652.30","4766.90","2"
"4889.00","4752.70","4660.80","4770.30","1"
"4899.90","4780.70","4671.40","4771.20","1"
"4894.40","4812.70","4678.60","4776.50","2"
"4922.70","4844.90","4691.90","4777.00","0"
"4928.60","4875.90","4706.60","4777.70","0"
"4893.80","4899.90","4722.00","4778.30","1"
"4867.20","4898.90","4733.60","4776.60","0"
"4828.70","4882.60","4738.70","4775.10","0"
"4782.20","4865.30","4745.50","4773.00","1"
"4773.60","4848.10","4754.90","4769.10","2"
"4817.90","4835.30","4776.10","4766.70","1"
"4858.60","4828.10","4790.10","4768.40","2"
"4911.90","4840.50","4810.40","4771.30","0"
"4936.00","4847.80","4829.20","4775.10","0"
"4891.50","4858.40","4838.20","4778.30","2"
"4908.60","4883.90","4851.60","4783.60","1"
"4937.10","4905.20","4862.10","4785.30","2"
"4953.90","4922.70","4876.20","4787.80","2"
"4995.50","4944.30","4891.50","4790.90","0"
"4994.90","4946.50","4897.10","4795.00","1"
"4986.80","4958.80","4901.30","4797.70","2"
"5033.10","4986.90","4910.40","4801.40","1"
"5066.50","5003.90","4918.50","4806.40","1"
"5052.10","5019.80","4923.30","4810.00","2"
"5058.10","5033.70","4931.50","4815.00","1"
"5065.40","5039.80","4940.50","4817.80","0"
"5008.10","5037.40","4945.60","4817.50","1"
"4968.40","5034.50","4954.50","4817.60","1"
"4987.40","5024.40","4966.10","4820.30","2"
"5027.00","5023.20","4979.80","4825.60","1"
"5056.40","5025.60","4989.90","4831.90","1"
"5067.80","5026.00","5000.70","4839.90","2"
"5110.10","5038.30","5009.80","4847.70","0"
"5098.50","5051.80","5017.00","4855.20","1"
"5041.20","5059.10","5024.70","4863.40","1"
"5028.10","5063.40","5028.90","4872.60","0"
"4981.30","5046.10","5029.10","4878.70","1"
"4935.80","5029.00","5027.10","4883.50","0"
"4922.20","5004.50","5021.80","4889.10","2"
"4938.80","4980.10","5021.50","4896.60","1"
"4973.50","4968.80","5020.50","4907.50","2"
"4995.10","4966.90","5017.70","4916.20","0"
"4974.70","4953.50","5011.30","4923.80","2"
"4959.50","4960.70","5008.40","4932.80","0"
"4949.40","4957.40","5000.40","4937.20","1"
"4911.10","4957.50","4993.00","4941.80","0"
"4851.20","4932.40","4984.70","4943.30","1"
"4797.40","4907.10","4975.90","4945.40","0"
"4780.20","4871.00","4964.00","4946.50","0"
"4711.00","4831.80","4944.30","4942.40","1"
"4666.60","4787.30","4925.00","4937.60","1"
"4677.30","4754.10","4905.30","4933.50","1"
"4670.00","4718.40","4881.00","4928.60","1"
"4672.00","4702.90","4862.60","4923.50","0"
"4652.50","4677.10","4842.20","4917.60","1"
"4605.10","4652.80","4820.30","4911.90","0"
